,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
92387,Male,Black,Under 18,Alameda County,218,132,3,3,51,407,152,18
92388,Male,Black,Under 18,Butte County,5,6,0,0,0,11,15,0
92389,Male,Black,Under 18,Calaveras County,0,0,0,0,1,1,7,0
92390,Male,Black,Under 18,Colusa County,0,0,0,0,0,0,3,0
92391,Male,Black,Under 18,Contra Costa County,50,49,2,1,27,129,131,0
92392,Male,Black,Under 18,Del Norte County,0,0,0,0,0,0,1,0
92393,Male,Black,Under 18,El Dorado County,2,0,0,0,0,2,6,0
92394,Male,Black,Under 18,Fresno County,51,30,2,5,28,116,195,2
92395,Male,Black,Under 18,Glenn County,1,0,0,0,0,1,0,0
92396,Male,Black,Under 18,Humboldt County,0,0,0,0,0,0,4,0
92397,Male,Black,Under 18,Imperial County,0,0,0,0,0,0,3,0
92398,Male,Black,Under 18,Kern County,42,37,0,1,18,98,94,1
92399,Male,Black,Under 18,Kings County,8,4,0,0,1,13,28,3
92400,Male,Black,Under 18,Lassen County,0,0,0,0,1,1,1,1
92401,Male,Black,Under 18,Los Angeles County,571,365,4,23,158,1121,554,23
92402,Male,Black,Under 18,Madera County,2,0,0,0,1,3,7,1
92403,Male,Black,Under 18,Marin County,8,4,0,1,1,14,19,2
92404,Male,Black,Under 18,Mendocino County,2,0,0,0,1,3,0,0
92405,Male,Black,Under 18,Merced County,12,6,0,0,8,26,39,53
92406,Male,Black,Under 18,Monterey County,4,6,0,0,3,13,27,2
92407,Male,Black,Under 18,Napa County,4,0,0,0,0,4,5,0
92408,Male,Black,Under 18,Nevada County,1,1,0,0,0,2,4,2
92409,Male,Black,Under 18,Orange County,15,23,1,1,5,45,54,7
92410,Male,Black,Under 18,Placer County,12,4,0,0,5,21,6,0
92411,Male,Black,Under 18,Plumas County,0,0,0,0,0,0,3,1
92412,Male,Black,Under 18,Riverside County,45,34,0,1,17,97,92,18
92413,Male,Black,Under 18,Sacramento County,131,90,3,9,50,283,146,43
92414,Male,Black,Under 18,San Bernardino County,172,156,4,27,58,417,231,183
92415,Male,Black,Under 18,San Diego County,107,50,5,2,31,195,166,36
92416,Male,Black,Under 18,San Francisco County,14,14,2,0,195,225,129,0
92417,Male,Black,Under 18,San Joaquin County,84,41,1,2,18,146,130,2
92418,Male,Black,Under 18,San Luis Obispo County,1,1,0,0,2,4,7,0
92419,Male,Black,Under 18,San Mateo County,12,17,1,0,5,35,26,2
92420,Male,Black,Under 18,Santa Barbara County,8,2,0,0,2,12,27,0
92421,Male,Black,Under 18,Santa Clara County,33,62,2,3,8,108,70,6
92422,Male,Black,Under 18,Santa Cruz County,2,0,0,0,1,3,3,0
92423,Male,Black,Under 18,Shasta County,3,0,0,0,2,5,9,4
92424,Male,Black,Under 18,Siskiyou County,1,0,0,0,0,1,1,0
92425,Male,Black,Under 18,Solano County,35,35,1,1,20,92,110,3
92426,Male,Black,Under 18,Sonoma County,6,2,0,1,4,13,31,0
92427,Male,Black,Under 18,Stanislaus County,30,8,3,2,8,51,40,2
92428,Male,Black,Under 18,Sutter County,6,2,0,0,1,9,6,0
92429,Male,Black,Under 18,Tehama County,1,0,0,0,0,1,3,0
92430,Male,Black,Under 18,Tulare County,10,5,1,0,3,19,25,14
92431,Male,Black,Under 18,Tuolumne County,0,1,0,0,0,1,0,0
92432,Male,Black,Under 18,Ventura County,10,8,0,0,3,21,38,16
92433,Male,Black,Under 18,Yolo County,6,8,0,0,2,16,12,0
92434,Male,Black,Under 18,Yuba County,2,0,0,0,1,3,2,0
92435,Male,Black,18 to 19,Alameda County,95,51,8,2,99,255,131,0
92436,Male,Black,18 to 19,Butte County,5,0,0,0,2,7,18,0
92437,Male,Black,18 to 19,Calaveras County,0,0,0,0,0,0,1,0
92438,Male,Black,18 to 19,Contra Costa County,44,48,3,0,42,137,96,0
92439,Male,Black,18 to 19,Del Norte County,0,0,0,0,0,0,1,0
92440,Male,Black,18 to 19,El Dorado County,0,0,0,0,0,0,1,0
92441,Male,Black,18 to 19,Fresno County,45,17,0,2,27,91,56,0
92442,Male,Black,18 to 19,Glenn County,2,0,0,0,0,2,1,0
92443,Male,Black,18 to 19,Humboldt County,0,0,0,0,1,1,5,0
92444,Male,Black,18 to 19,Imperial County,2,1,0,0,0,3,6,0
92445,Male,Black,18 to 19,Inyo County,0,0,0,0,0,0,1,0
92446,Male,Black,18 to 19,Kern County,33,15,1,1,22,72,64,0
92447,Male,Black,18 to 19,Kings County,5,2,0,1,9,17,16,0
92448,Male,Black,18 to 19,Lake County,0,0,0,0,0,0,2,0
92449,Male,Black,18 to 19,Lassen County,1,0,0,0,1,2,1,0
92450,Male,Black,18 to 19,Los Angeles County,426,310,27,5,216,984,555,0
92451,Male,Black,18 to 19,Madera County,3,1,0,0,1,5,3,0
