,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
0,G0100010,2005-2009,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",49584,"Autauga County, Alabama",0
1,G0100030,2005-2009,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",171997,"Baldwin County, Alabama",0
2,G0100050,2005-2009,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",29663,"Barbour County, Alabama",0
3,G0100070,2005-2009,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",21464,"Bibb County, Alabama",0
4,G0100090,2005-2009,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56804,"Blount County, Alabama",0
5,G0100110,2005-2009,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10917,"Bullock County, Alabama",0
6,G0100130,2005-2009,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20189,"Butler County, Alabama",0
7,G0100150,2005-2009,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",112969,"Calhoun County, Alabama",0
8,G0100170,2005-2009,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34704,"Chambers County, Alabama",0
9,G0100190,2005-2009,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",24427,"Cherokee County, Alabama",0
10,G0100210,2005-2009,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",42272,"Chilton County, Alabama",0
11,G0100230,2005-2009,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",14229,"Choctaw County, Alabama",0
12,G0100250,2005-2009,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26438,"Clarke County, Alabama",0
13,G0100270,2005-2009,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13769,"Clay County, Alabama",0
14,G0100290,2005-2009,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14579,"Cleburne County, Alabama",0
15,G0100310,2005-2009,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",46802,"Coffee County, Alabama",0
16,G0100330,2005-2009,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54546,"Colbert County, Alabama",0
17,G0100350,2005-2009,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13114,"Conecuh County, Alabama",0
18,G0100370,2005-2009,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",10777,"Coosa County, Alabama",0
19,G0100390,2005-2009,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",36688,"Covington County, Alabama",0
20,G0100410,2005-2009,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13687,"Crenshaw County, Alabama",0
21,G0100430,2005-2009,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80630,"Cullman County, Alabama",0
22,G0100450,2005-2009,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",48233,"Dale County, Alabama",0
23,G0100470,2005-2009,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",42748,"Dallas County, Alabama",0
24,G0100490,2005-2009,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",68183,"DeKalb County, Alabama",0
25,G0100510,2005-2009,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",76714,"Elmore County, Alabama",0
26,G0100530,2005-2009,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37561,"Escambia County, Alabama",0
27,G0100550,2005-2009,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",103150,"Etowah County, Alabama",0
28,G0100570,2005-2009,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17651,"Fayette County, Alabama",0
