,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AHY1E001,NAME_M,AHY1M001
0,G0100010,2013-2017,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",55036,"Autauga County, Alabama",0
1,G0100030,2013-2017,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",203360,"Baldwin County, Alabama",0
2,G0100050,2013-2017,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",26201,"Barbour County, Alabama",0
3,G0100070,2013-2017,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22580,"Bibb County, Alabama",0
4,G0100090,2013-2017,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57667,"Blount County, Alabama",0
5,G0100110,2013-2017,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10478,"Bullock County, Alabama",0
6,G0100130,2013-2017,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20126,"Butler County, Alabama",0
7,G0100150,2013-2017,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",115527,"Calhoun County, Alabama",0
8,G0100170,2013-2017,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",33895,"Chambers County, Alabama",0
9,G0100190,2013-2017,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25855,"Cherokee County, Alabama",0
10,G0100210,2013-2017,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43805,"Chilton County, Alabama",0
11,G0100230,2013-2017,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",13188,"Choctaw County, Alabama",0
12,G0100250,2013-2017,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",24625,"Clarke County, Alabama",0
13,G0100270,2013-2017,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13407,"Clay County, Alabama",0
14,G0100290,2013-2017,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14939,"Cleburne County, Alabama",0
15,G0100310,2013-2017,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",51073,"Coffee County, Alabama",0
16,G0100330,2013-2017,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54435,"Colbert County, Alabama",0
17,G0100350,2013-2017,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",12649,"Conecuh County, Alabama",0
18,G0100370,2013-2017,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",10955,"Coosa County, Alabama",0
19,G0100390,2013-2017,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37519,"Covington County, Alabama",0
20,G0100410,2013-2017,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13866,"Crenshaw County, Alabama",0
21,G0100430,2013-2017,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",81703,"Cullman County, Alabama",0
22,G0100450,2013-2017,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",49393,"Dale County, Alabama",0
